,Username,Post Date,Content,Like Count,Date,DateDiff(days),Year,hashtags,hashtag_count
730,catiocatiocafe,2023-11-07,"外面好似好熱熱喎
不過唔係巧關禾事
因為禾係度瞓得超爽😌😌

#你地奴才繼續返工啦
#小編表示點解我要捱世界咁唔公平
#柑金你醒下啦 

—————————————————————
🐱Walk in 或訂座開放中
🐱每日4 點 🕓 仲有主子們用下午茶☕️歡迎圍觀🤗

付款方式：
♾八達通/💳Visa&Master/📱Apple pay/💵Cash/📲Alipay/WeChat pay

營業時間🕒 
星期一至日：1200-2130

收費💰*全線免加一*

每小時 每位78HKD送一杯飲品
如每位客人叫食物第二小時即免按時收費

平日12pm - 2pm及6pm以後：特設套餐優惠，每位客人凡惠顧午/晚市套餐，即免按時收費及無限時任坐

⌚️不足一小時亦作一小時計

特選貓奴俱樂部優惠😘
會員優惠按時收費9折

🏠：銅鑼灣聯成商業中心1501-1502室
☎️：6413 4929

#cat #catlovers #cafe #Catio #貓奴 #貓主子 #奴才來給貓玩 #喵喵cafe #hea #貓治癒 #貓 #自家貓 #支持領養 #親子 #親子時光 #銅鑼灣好去處 #銅鑼灣cafe #銅鑼灣美食 #銅鑼灣 #相機食先 #英短 #美短 #布偶 #金吉拉 #異短 #藍貓 #cathk",87,2023-11-07,29.0,2023.0,"['#你地奴才繼續返工啦', '#小編表示點解我要捱世界咁唔公平', '#柑金你醒下啦', '#cat', '#catlovers', '#cafe', '#Catio', '#貓奴', '#貓主子', '#奴才來給貓玩', '#喵喵cafe', '#hea', '#貓治癒', '#貓', '#自家貓', '#支持領養', '#親子', '#親子時光', '#銅鑼灣好去處', '#銅鑼灣cafe', '#銅鑼灣美食', '#銅鑼灣', '#相機食先', '#英短', '#美短', '#布偶', '#金吉拉', '#異短', '#藍貓', '#cathk']",30.0
764,catiocatiocafe,2023-12-04,"禾好想玩啊！點解d哥哥姐姐都唔陪禾玩？
奴才你地陪禾玩啦😻

#波波 #貓生就是玩
#全年免加一

—————————————————————
🐱Walk in 或訂座開放中
🐱每日4 點 🕓 仲有主子們用下午茶☕️歡迎圍觀🤗

付款方式：
♾八達通/💳Visa&Master/📱Apple pay/💵Cash/📲Alipay/WeChat pay

營業時間🕒 
星期一至日：1200-2130

收費💰 *免收加一*
平日12-2pm最低消費每位$140或一份午市套餐
平日6pm後入座最低消費每位$140
其他時段：
每小時 78HKD送一杯飲品
叫食物第二小時即免按時收費
⌚️不足一小時亦作一小時計

特選貓奴俱樂部優惠😘
會員優惠按時收費9折

🏠：銅鑼灣聯成商業中心1501-1502室
☎️：6413 4929

#cat #catlovers #cafe #Catio #貓奴 #貓主子 #奴才來給貓玩 #喵喵cafe #hea #貓治癒 #貓 #自家貓 #支持領養 #親子 #親子時光 #銅鑼灣好去處 #銅鑼灣cafe #銅鑼灣美食 #銅鑼灣 #相機食先 #英短 #美短 #布偶 #金吉拉 #異短 #藍貓 #cathk",64,2023-12-04,27.0,2023.0,"['#波波', '#貓生就是玩', '#全年免加一', '#cat', '#catlovers', '#cafe', '#Catio', '#貓奴', '#貓主子', '#奴才來給貓玩', '#喵喵cafe', '#hea', '#貓治癒', '#貓', '#自家貓', '#支持領養', '#親子', '#親子時光', '#銅鑼灣好去處', '#銅鑼灣cafe', '#銅鑼灣美食', '#銅鑼灣', '#相機食先', '#英短', '#美短', '#布偶', '#金吉拉', '#異短', '#藍貓', '#cathk']",30.0
723,catiocatiocafe,2023-12-08,"一秒前：以為佢嬲緊
一秒後：原來淨係想瞓覺😹

#變臉布布 
#布布dayday瞓成日搵佢唔到

—————————————————————
🐱Walk in 或訂座開放中
🐱每日4 點 🕓 仲有主子們用下午茶☕️歡迎圍觀🤗

付款方式：
♾八達通/💳Visa&Master/📱Apple pay/💵Cash/📲Alipay/WeChat pay

營業時間🕒 
星期一至日：1200-2130

收費💰*全線免加一*

每小時 每位78HKD送一杯飲品
如每位客人叫食物第二小時即免按時收費

平日12pm - 2pm及6pm以後：特設套餐優惠，每位客人凡惠顧午/晚市套餐，即免按時收費及無限時任坐

⌚️不足一小時亦作一小時計

特選貓奴俱樂部優惠😘
會員優惠按時收費9折

🏠：銅鑼灣聯成商業中心1501-1502室
☎️：6413 4929

#cat #catlovers #cafe #Catio #貓奴 #貓主子 #奴才來給貓玩 #喵喵cafe #hea #貓治癒 #貓 #自家貓 #支持領養 #親子 #親子時光 #銅鑼灣好去處 #銅鑼灣cafe #銅鑼灣美食 #銅鑼灣 #相機食先 #英短 #美短 #布偶 #金吉拉 #異短 #藍貓 #cathk",71,2023-12-08,4.0,2023.0,"['#變臉布布', '#布布dayday瞓成日搵佢唔到', '#cat', '#catlovers', '#cafe', '#Catio', '#貓奴', '#貓主子', '#奴才來給貓玩', '#喵喵cafe', '#hea', '#貓治癒', '#貓', '#自家貓', '#支持領養', '#親子', '#親子時光', '#銅鑼灣好去處', '#銅鑼灣cafe', '#銅鑼灣美食', '#銅鑼灣', '#相機食先', '#英短', '#美短', '#布偶', '#金吉拉', '#異短', '#藍貓', '#cathk']",29.0
645,catiocatiocafe,2024-01-05,"呢個世界好唔公平，奴才勞動節都要開工
你地班友仔唔駛勞動都有好西吃😂

#為工作中既朋友加油💪🏻💪🏻
#有假放既朋友歡迎黎陪呢班唔駛勞動既主子😆

—————————————————————
🐱Walk in 或訂座開放中
🐱每日4 點 🕓 仲有主子們用下午茶☕️歡迎圍觀🤗

付款方式：
♾八達通/💳Visa&Master/📱Apple pay/💵Cash/📲Alipay/WeChat pay

營業時間🕒 
星期一至日：1200-2130

收費💰*全線免加一*

每小時 每位78HKD送一杯飲品
如每位客人叫食物第二小時即免按時收費

平日12pm - 2pm及6pm以後：特設套餐優惠，每位客人凡惠顧午/晚市套餐，即免按時收費及無限時任坐

👨‍👩‍👧‍👦大小同價
⌚️不足一小時亦作一小時計

特選貓奴俱樂部優惠😘
會員優惠按時收費9折
學生平日2-6pm 60元無限時

🏠：銅鑼灣聯成商業中心1501-1502室
☎️：6413 4929

#cat #catlovers #cafe #Catio #貓奴 #貓主子 #奴才來給貓玩 #喵喵cafe #hea #貓治癒 #貓 #自家貓 #支持領養 #親子 #親子時光 #銅鑼灣好去處 #銅鑼灣cafe #銅鑼灣美食 #相機食先 #英短 #美短 #布偶 #金吉拉 #異短 #藍貓 #cathk #學生會優惠 #包場",41,2024-01-05,28.0,2024.0,"['#為工作中既朋友加油💪🏻💪🏻', '#有假放既朋友歡迎黎陪呢班唔駛勞動既主子😆', '#cat', '#catlovers', '#cafe', '#Catio', '#貓奴', '#貓主子', '#奴才來給貓玩', '#喵喵cafe', '#hea', '#貓治癒', '#貓', '#自家貓', '#支持領養', '#親子', '#親子時光', '#銅鑼灣好去處', '#銅鑼灣cafe', '#銅鑼灣美食', '#相機食先', '#英短', '#美短', '#布偶', '#金吉拉', '#異短', '#藍貓', '#cathk', '#學生會優惠', '#包場']",30.0
634,catiocatiocafe,2024-02-07,"呢位奴才摸得唔錯，朕很滿意決定唔郁 😌😌

#我們家的貓咪堅親人
#不過還是要小心花姐 🤪

—————————————————————
🐱Walk in 或訂座開放中
🐱每日4 點 🕓 仲有主子們用下午茶☕️歡迎圍觀🤗

付款方式：
♾八達通/💳Visa&Master/📱Apple pay/💵Cash/📲Alipay/WeChat pay

營業時間🕒 
星期一至日：1200-2130

收費💰*全日免加一*

每小時 每位78HKD送一杯飲品
如每位客人叫食物第二小時即免按時收費

平日12pm - 2pm及6pm以後：特設套餐優惠，每位客人凡惠顧午/晚市套餐，即免按時收費及無限時任坐

👨‍👩‍👧‍👦大小同價
⌚️不足一小時亦作一小時計

特選貓奴俱樂部優惠😘
會員優惠按時收費9折
學生平日2-6pm 60元無限時

🏠：銅鑼灣聯成商業中心1501-1502室
☎️：6413 4929

#cat #catlovers #cafe #Catio #貓奴 #貓主子 #奴才來給貓玩 #喵喵cafe #hea #貓治癒 #貓 #自家貓 #支持領養 #親子 #親子時光 #銅鑼灣好去處 #銅鑼灣cafe #銅鑼灣美食 #相機食先 #英短 #美短 #布偶 #金吉拉 #異短 #藍貓 #cathk #學生會優惠 #包場",22,2024-02-07,33.0,2024.0,"['#我們家的貓咪堅親人', '#不過還是要小心花姐', '#cat', '#catlovers', '#cafe', '#Catio', '#貓奴', '#貓主子', '#奴才來給貓玩', '#喵喵cafe', '#hea', '#貓治癒', '#貓', '#自家貓', '#支持領養', '#親子', '#親子時光', '#銅鑼灣好去處', '#銅鑼灣cafe', '#銅鑼灣美食', '#相機食先', '#英短', '#美短', '#布偶', '#金吉拉', '#異短', '#藍貓', '#cathk', '#學生會優惠', '#包場']",30.0
631,catiocatiocafe,2024-03-08,"[快閃多巴胺] 係貓迷展拼搏完，好興奮，想同貓咪繼續互動?可以到本店輕鬆休閒用餐，八月三或四日憑本年度香港貓迷展覽會票尾於本店消費可享意大利製雪糕波兩個。

請出示並tag這優惠券
送完即止
本店對優惠有最終決定權

#catsparty",14,2024-03-08,30.0,2024.0,['#catsparty'],1.0
638,catiocatiocafe,2024-08-06,"柑：典解多左兩隻肥貓既？
聽講Catio今個星期有加菲父親節卡派
仲有休閒時段有pizza優惠
快d叫齊奴才一齊上黎陪禾玩！

#加菲貓 #父親節

—————————————————————
🐱Walk in 或訂座開放中
🐱每日4 點 🕓 仲有主子們用下午茶☕️歡迎圍觀🤗

付款方式：
♾八達通/💳Visa&Master/📱Apple pay/💵Cash/📲Alipay/WeChat pay

營業時間🕒 
星期一至日：1200-2130

收費💰*全日免加一*

每小時 每位78HKD送一杯飲品
如每位客人叫食物第二小時即免按時收費

平日12pm - 2pm及6pm以後：特設套餐優惠，每位客人凡惠顧午/晚市套餐，即免按時收費及無限時任坐

👨‍👩‍👧‍👦大小同價
⌚️不足一小時亦作一小時計

特選貓奴俱樂部優惠😘
會員優惠按時收費9折
學生平日2-6pm 60元無限時

🏠：銅鑼灣聯成商業中心1501-1502室
☎️：6413 4929

#cat #catlovers #cafe #Catio #貓奴 #貓主子 #奴才來給貓玩 #喵喵cafe #hea #貓治癒 #貓 #自家貓 #支持領養 #親子 #親子時光 #銅鑼灣好去處 #銅鑼灣cafe #銅鑼灣美食 #相機食先 #英短 #美短 #布偶 #金吉拉 #異短 #藍貓 #cathk #學生會優惠 #包場",23,2024-08-06,151.0,2024.0,"['#加菲貓', '#父親節', '#cat', '#catlovers', '#cafe', '#Catio', '#貓奴', '#貓主子', '#奴才來給貓玩', '#喵喵cafe', '#hea', '#貓治癒', '#貓', '#自家貓', '#支持領養', '#親子', '#親子時光', '#銅鑼灣好去處', '#銅鑼灣cafe', '#銅鑼灣美食', '#相機食先', '#英短', '#美短', '#布偶', '#金吉拉', '#異短', '#藍貓', '#cathk', '#學生會優惠', '#包場']",30.0
630,catiocatiocafe,2024-08-08,"8.8國際貓貓日，講國際，邊個夠禾地國際呀？喵🐱

#你今日吸左貓未 

—————————————————————
🐱Walk in 或訂座開放中
🐱每日4 點 🕓 仲有主子們用下午茶☕️歡迎圍觀🤗

付款方式：
♾八達通/💳Visa&Master/📱Apple pay/💵Cash/📲Alipay/WeChat pay

營業時間🕒 
星期一至日：1200-2130

收費💰*全日免加一*

每小時 每位78HKD送一杯飲品
如每位客人叫食物第二小時即免按時收費

平日12pm - 2pm及6pm以後：特設套餐優惠，每位客人凡惠顧午/晚市套餐，即免按時收費及無限時任坐

👨‍👩‍👧‍👦大小同價
⌚️不足一小時亦作一小時計

特選貓奴俱樂部優惠😘
會員優惠按時收費9折
學生平日2-6pm 60元無限時

🏠：銅鑼灣聯成商業中心1501-1502室
☎️：6413 4929

#cat #catlovers #cafe #Catio #貓奴 #貓主子 #奴才來給貓玩 #喵喵cafe #hea #貓治癒 #貓 #自家貓 #支持領養 #親子 #親子時光 #銅鑼灣好去處 #銅鑼灣cafe #銅鑼灣美食 #相機食先 #英短 #美短 #布偶 #金吉拉 #異短 #藍貓 #cathk #學生會優惠 #包場",22,2024-08-08,2.0,2024.0,"['#你今日吸左貓未', '#cat', '#catlovers', '#cafe', '#Catio', '#貓奴', '#貓主子', '#奴才來給貓玩', '#喵喵cafe', '#hea', '#貓治癒', '#貓', '#自家貓', '#支持領養', '#親子', '#親子時光', '#銅鑼灣好去處', '#銅鑼灣cafe', '#銅鑼灣美食', '#相機食先', '#英短', '#美短', '#布偶', '#金吉拉', '#異短', '#藍貓', '#cathk', '#學生會優惠', '#包場']",29.0
644,catiocatiocafe,2024-09-05,"公關喵又迎客中了😆
還有亂入的Anson姐

#雖然最近比較愛躲起來睡
#但還是超級親人的磨菇湯

—————————————————————
🐱Walk in 或訂座開放中
🐱每日4 點 🕓 仲有主子們用下午茶☕️歡迎圍觀🤗

付款方式：
♾八達通/💳Visa&Master/📱Apple pay/💵Cash/📲Alipay/WeChat pay

營業時間🕒 
星期一至日：1200-2130

收費💰*全線免加一*

每小時 每位78HKD送一杯飲品
如每位客人叫食物第二小時即免按時收費

平日12pm - 2pm及6pm以後：特設套餐優惠，每位客人凡惠顧午/晚市套餐，即免按時收費及無限時任坐

👨‍👩‍👧‍👦大小同價
⌚️不足一小時亦作一小時計

特選貓奴俱樂部優惠😘
會員優惠按時收費9折
學生平日2-6pm 60元無限時

🏠：銅鑼灣聯成商業中心1501-1502室
☎️：6413 4929

#cat #catlovers #cafe #Catio #貓奴 #貓主子 #奴才來給貓玩 #喵喵cafe #hea #貓治癒 #貓 #自家貓 #支持領養 #親子 #親子時光 #銅鑼灣好去處 #銅鑼灣cafe #銅鑼灣美食 #相機食先 #英短 #美短 #布偶 #金吉拉 #異短 #藍貓 #cathk #學生會優惠 #包場",33,2024-09-05,28.0,2024.0,"['#雖然最近比較愛躲起來睡', '#但還是超級親人的磨菇湯', '#cat', '#catlovers', '#cafe', '#Catio', '#貓奴', '#貓主子', '#奴才來給貓玩', '#喵喵cafe', '#hea', '#貓治癒', '#貓', '#自家貓', '#支持領養', '#親子', '#親子時光', '#銅鑼灣好去處', '#銅鑼灣cafe', '#銅鑼灣美食', '#相機食先', '#英短', '#美短', '#布偶', '#金吉拉', '#異短', '#藍貓', '#cathk', '#學生會優惠', '#包場']",30.0
625,catiocatiocafe,2024-09-07,"主子話咁好天梗係曬太陽啦😎
其實自然光對貓咪真係好重要
我地店舒適明亮，適合主子和奴才一齊chill下

#歡迎隨時黎探主子

—————————————————————
🐱Walk in 或訂座開放中
🐱每日4 點 🕓 仲有主子們用下午茶☕️歡迎圍觀🤗

付款方式：
♾八達通/💳Visa&Master/📱Apple pay/💵Cash/📲Alipay/WeChat pay

營業時間🕒 
星期一至日：1200-2130

收費💰*全日免加一*

每小時 每位78HKD送一杯飲品
如每位客人叫食物第二小時即免按時收費

平日12pm - 2pm及6pm以後：特設套餐優惠，每位客人凡惠顧午/晚市套餐，即免按時收費及無限時任坐

👨‍👩‍👧‍👦大小同價
⌚️不足一小時亦作一小時計

特選貓奴俱樂部優惠😘
會員優惠按時收費9折
學生平日2-6pm 60元無限時

🏠：銅鑼灣聯成商業中心1501-1502室
☎️：6413 4929

#cat #catlovers #cafe #Catio #貓奴 #貓主子 #奴才來給貓玩 #喵喵cafe #hea #貓治癒 #貓 #自家貓 #支持領養 #親子 #親子時光 #銅鑼灣好去處 #銅鑼灣cafe #銅鑼灣美食 #相機食先 #英短 #美短 #布偶 #金吉拉 #異短 #藍貓 #cathk #學生會優惠 #包場",35,2024-09-07,2.0,2024.0,"['#歡迎隨時黎探主子', '#cat', '#catlovers', '#cafe', '#Catio', '#貓奴', '#貓主子', '#奴才來給貓玩', '#喵喵cafe', '#hea', '#貓治癒', '#貓', '#自家貓', '#支持領養', '#親子', '#親子時光', '#銅鑼灣好去處', '#銅鑼灣cafe', '#銅鑼灣美食', '#相機食先', '#英短', '#美短', '#布偶', '#金吉拉', '#異短', '#藍貓', '#cathk', '#學生會優惠', '#包場']",29.0
637,catiocatiocafe,2024-12-06,"Catio大小姐，晚安 😴

#貓咪要自己沖涼訓覺嫁

—————————————————
🐱Walk in 或訂座開放中
🐱每日4 點 🕓 仲有主子們用下午茶☕️歡迎圍觀🤗

付款方式：
♾八達通/💳Visa&Master/📱Apple pay/💵Cash/📲Alipay/WeChat pay

營業時間🕒 
星期一至日：1200-2130

收費💰*全日免加一*

每小時 每位78HKD送一杯飲品
如每位客人叫食物第二小時即免按時收費

平日12pm - 2pm及6pm以後：特設套餐優惠，每位客人凡惠顧午/晚市套餐，即免按時收費及無限時任坐

👨‍👩‍👧‍👦大小同價
⌚️不足一小時亦作一小時計

特選貓奴俱樂部優惠😘
會員優惠按時收費9折
學生平日2-6pm 60元無限時

🏠：銅鑼灣聯成商業中心1501-1502室
☎️：6413 4929

#cat #catlovers #cafe #Catio #貓奴 #貓主子 #奴才來給貓玩 #喵喵cafe #hea #貓治癒 #貓 #自家貓 #支持領養 #親子 #親子時光 #銅鑼灣好去處 #銅鑼灣cafe #銅鑼灣美食 #相機食先 #英短 #美短 #布偶 #金吉拉 #異短 #藍貓 #cathk #學生會優惠 #包場",30,2024-12-06,90.0,2024.0,"['#貓咪要自己沖涼訓覺嫁', '#cat', '#catlovers', '#cafe', '#Catio', '#貓奴', '#貓主子', '#奴才來給貓玩', '#喵喵cafe', '#hea', '#貓治癒', '#貓', '#自家貓', '#支持領養', '#親子', '#親子時光', '#銅鑼灣好去處', '#銅鑼灣cafe', '#銅鑼灣美食', '#相機食先', '#英短', '#美短', '#布偶', '#金吉拉', '#異短', '#藍貓', '#cathk', '#學生會優惠', '#包場']",29.0
1280,catislandcafe,2018-11-12,"聖誕節...就係我地一眾單身L既悲哀...如果你都空虛、寂寞、凍...快d黎攬吓我！🤧😻❄️⛄️☃️ (P.s...我冇講粗口架...人地真係叫LL）

由12月17日開始...我地營業時間改為逢星期一至日上午11時至晚上9時

Our opening hours will change to Monday to Sunday from 11am - 9pm effective from 17 Dec 2018. 
#貓 #貓貓 #貓星人 #貓奴日常 #貓cafe #cat #catcafe #猫 #猫カフェ #hongkong #hongkongcatcafe",23,2018-11-12,0.0,2018.0,"['#貓', '#貓貓', '#貓星人', '#貓奴日常', '#貓cafe', '#cat', '#catcafe', '#猫', '#猫カフェ', '#hongkong', '#hongkongcatcafe']",11.0
1253,catislandcafe,2019-01-04,"‼重要消息‼
阿貓地攤開業快將19週年，感謝一路上各位客人嘅支持😊
今日四月一日！阿貓地攤將會推出新元素，為客帶來嶄新的體驗！ ☕阿貓女僕Cafe💕
貓店長和員工一齊變裝成為可愛女僕，為各位主人送上魔法美食😍

4月1日起當值更表如下：
.
祝各位愚人節快樂🤪
祝各位愚人節快樂🤪
祝各位愚人節快樂🤪

如果覺得搞得成，請inbox聯絡😂

#今日係4月1號 #愚人節 #女僕Cafe #AprilFool
--------------------------------------
營業時間🕘
星期一至星期日：11:00am - 09:00pm
歡迎預約留座🤗

改圖至動畫：NEW GAME!

#阿貓地攤 #貓仙島 #catstore #catisland
#貓 #貓貓 #貓星人 #貓奴日常 #貓cafe #cat #catcafe #猫 #猫カフェ #hongkong #hongkongcatcafe",21,2019-01-04,53.0,2019.0,"['#今日係4月1號', '#愚人節', '#女僕Cafe', '#AprilFool', '#阿貓地攤', '#貓仙島', '#catstore', '#catisland', '#貓', '#貓貓', '#貓星人', '#貓奴日常', '#貓cafe', '#cat', '#catcafe', '#猫', '#猫カフェ', '#hongkong', '#hongkongcatcafe']",19.0
1244,catislandcafe,2019-01-05,"【招聘兼職店務員】
歡迎喜歡貓兒、勤力、專心工作、有愛心嘅朋友加入😏
亦歡迎應屆DSE考生💪🏻
企鵝、機師免問🤦🏻‍♀ 如有興趣，可先填寫
https://www.facebook.com/825572364129597/posts/2269576786395807/
之申請表及回答問題。
篩選後會有專人聯絡面試😉

#兼職 #兼職工作 #parttime #parttimejob #揾工 #暑期工 
#阿貓地攤 #貓仙島 #catstore #catisland
#貓 #貓貓 #貓星人 #貓奴日常 #貓cafe #cat #catcafe #猫 #猫カフェ #hongkong #hongkongcatcafe",56,2019-01-05,1.0,2019.0,"['#兼職', '#兼職工作', '#parttime', '#parttimejob', '#揾工', '#暑期工', '#阿貓地攤', '#貓仙島', '#catstore', '#catisland', '#貓', '#貓貓', '#貓星人', '#貓奴日常', '#貓cafe', '#cat', '#catcafe', '#猫', '#猫カフェ', '#hongkong', '#hongkongcatcafe']",21.0
1265,catislandcafe,2019-02-02,"🍊🧧農曆新年營業時間🧧🍊
2月4日 年三十晚：11.am - 6.pm
2月5-8日 年初一至年初四：休息
🀄🧨2月9日 初五啟巿🧨🀄 🍊🧧Chinese New Year Open Hour🧧🍊
4/2 ：11.am - 6.pm
5-8/2 ：Close

#阿貓地攤 #貓仙島 #catstore #catisland
#貓 #貓貓 #貓星人 #貓奴日常 #貓cafe #cat #catcafe #猫 #猫カフェ #hongkong #hongkongcatcafe",31,2019-02-02,28.0,2019.0,"['#阿貓地攤', '#貓仙島', '#catstore', '#catisland', '#貓', '#貓貓', '#貓星人', '#貓奴日常', '#貓cafe', '#cat', '#catcafe', '#猫', '#猫カフェ', '#hongkong', '#hongkongcatcafe']",15.0
1224,catislandcafe,2019-02-08,"有貓界吳彥祖之稱嘅阿貓地攤第一型男－B哥，最近因為身體抱恙返咗屋企休息，病情亦有好轉。為着B哥嘅身心健康同意願着想。我哋安排B哥係8月19日正式回家享福休養。
相信唔少B迷都好掛住佢，所以阿貓地攤特意舉辦一場 B哥歡送會，比大家抱抱B哥之餘，一齊分享同B哥之間嘅點點滴滴。

活動詳情：
日期：8月18日
時間：下午6點 至 9點
費用：$150 (已包括食物、飲品及紀念品等)
食物及飲品會以派對及自助形式奉上 
報名表：
https://docs.google.com/forms/d/e/1FAIpQLSdtDLNDXVnDcAogJeMtI85815BeiVs_zYHXr09VCtNr1WLxvA/viewform

如果有任何疑問，請於遞交申請前向我們查詢。

#阿貓地攤 #貓仙島 #catstore #catisland
#貓 #貓貓 #貓星人 #貓奴日常 #貓cafe #cat #catcafe #猫 #猫カフェ #hongkong #hongkongcatcafe",56,2019-02-08,6.0,2019.0,"['#阿貓地攤', '#貓仙島', '#catstore', '#catisland', '#貓', '#貓貓', '#貓星人', '#貓奴日常', '#貓cafe', '#cat', '#catcafe', '#猫', '#猫カフェ', '#hongkong', '#hongkongcatcafe']",15.0
1212,catislandcafe,2019-03-12,"😸黑Boy PJ 和PT 宣言😸:
我在皇座上監察😺😺，確保所有小朋友嚟食野都開心又愉快😻😻 #阿貓地攤 #貓仙島 #catstore #catisland
#貓 #貓貓 #貓星人 #貓奴日常 #貓cafe #cat #catcafe #猫 #猫カフェ #hongkong #hongkongcatcafe",59,2019-03-12,32.0,2019.0,"['#阿貓地攤', '#貓仙島', '#catstore', '#catisland', '#貓', '#貓貓', '#貓星人', '#貓奴日常', '#貓cafe', '#cat', '#catcafe', '#猫', '#猫カフェ', '#hongkong', '#hongkongcatcafe']",15.0
1250,catislandcafe,2019-04-04,"話說…熟睡中嘅多多聞到B哥隻大臭腳

多多：師兄你踩屎嚟呀？！臭到癲喎🤮
B哥：少癲…邊有咁誇張(繼續瞓)

#真貓真事 #多多表情多多 #大家又有meme圖用 --------------------------------------
營業時間🕘
星期一至星期日：11:00am - 09:00pm
歡迎預約留座🤗

#阿貓地攤 #貓仙島 #catstore #catisland
#貓 #貓貓 #貓星人 #貓奴日常 #貓cafe #cat #catcafe #猫 #猫カフェ #hongkong #hongkongcatcafe",46,2019-04-04,23.0,2019.0,"['#真貓真事', '#多多表情多多', '#大家又有meme圖用', '#阿貓地攤', '#貓仙島', '#catstore', '#catisland', '#貓', '#貓貓', '#貓星人', '#貓奴日常', '#貓cafe', '#cat', '#catcafe', '#猫', '#猫カフェ', '#hongkong', '#hongkongcatcafe']",18.0
1225,catislandcafe,2019-04-07,"✨驚喜優惠!!－儲貓印😻成為地攤VIP✨
🎉慶賀吧！阿貓地攤儲貓卡隆重登場！

由即日起於 阿貓地攤 惠顧任何食品滿$100，即可儲貓印一個！
儲滿5個貓印下次消費即減$50❗10個即減$100❗如此類推… ✨儲滿30個貓印即可升級成為 阿貓地攤尊貴會員 VIP👑
✨阿貓地攤尊貴會員 VIP可享永久8️⃣5️⃣折優惠 及 尊屬禮遇，萬勿錯過！

咁正嘅儲貓卡仲唔快啲Share比朋友知？！🤤 #阿貓地攤 #貓仙島 #貓Cafe
-------------------------------------------------
營業時間🕘
星期一至星期日：11:00am - 09:00pm
歡迎預約留座🤗 ✨ 【地攤小教室】不定期更新
【阿貓地攤的故事】每月更新

#阿貓地攤 #貓仙島 #catstore #catisland
#貓 #貓貓 #貓星人 #貓奴日常 #貓cafe #cat #catcafe #猫 #猫カフェ #hongkong #hongkongcatcafe
#優惠 #折扣",30,2019-04-07,3.0,2019.0,"['#阿貓地攤', '#貓仙島', '#貓Cafe', '#阿貓地攤', '#貓仙島', '#catstore', '#catisland', '#貓', '#貓貓', '#貓星人', '#貓奴日常', '#貓cafe', '#cat', '#catcafe', '#猫', '#猫カフェ', '#hongkong', '#hongkongcatcafe', '#優惠', '#折扣']",20.0
1273,catislandcafe,2019-05-01,"新年快樂💕😻😽 #阿貓地攤 #貓仙島 #catstore #catisland
#貓 #貓貓 #貓星人 #貓奴日常 #貓cafe #cat #catcafe #猫 #猫カフェ #hongkong #hongkongcatcafe",31,2019-05-01,24.0,2019.0,"['#阿貓地攤', '#貓仙島', '#catstore', '#catisland', '#貓', '#貓貓', '#貓星人', '#貓奴日常', '#貓cafe', '#cat', '#catcafe', '#猫', '#猫カフェ', '#hongkong', '#hongkongcatcafe']",15.0
1260,catislandcafe,2019-05-03,"青青：喂喂～家姐瞓緊唔好阻住佢啦 ((推開，
我咁可愛影下我啦(=° w°=) p.s. 可能跟得B哥多，青青學識做暖男☺
#暖男青 #青青大個仔 #薑青姊弟
---------------------------------------
營業時間🕘
星期一至星期日：11:00am - 09:00pm
歡迎預約留座🤗

更多精彩優惠✨
Openrice: https://s.openrice.com/QrbS0rq4000

#阿貓地攤 #貓仙島 #catstore #catisland
#貓 #貓貓 #貓星人 #貓奴日常 #貓cafe #cat #catcafe #猫 #猫カフェ #hongkong #hongkongcatcafe",38,2019-05-03,2.0,2019.0,"['#暖男青', '#青青大個仔', '#薑青姊弟', '#阿貓地攤', '#貓仙島', '#catstore', '#catisland', '#貓', '#貓貓', '#貓星人', '#貓奴日常', '#貓cafe', '#cat', '#catcafe', '#猫', '#猫カフェ', '#hongkong', '#hongkongcatcafe']",18.0
